h3,incidents,avg_on_scene,min_on_scene,max_on_scene,geometry
88283084bdfffff,39,22.71794871794872,0.0,200.0,"POLYGON ((-122.56564493635376 37.90771356828806, -122.56117478424666 37.91125906713952, -122.56262973260823 37.9159411934807, -122.5685551700921 37.91707763444043, -122.57302510514164 37.91353201971897, -122.57156981981359 37.90885007991765, -122.56564493635376 37.90771356828806))"
88283084c3fffff,2,28.0,4.0,52.0,"POLYGON ((-122.57770037216703 37.874798584323294, -122.57323240339913 37.87834483782897, -122.57468731983448 37.883028002049194, -122.5806105416457 37.88416472597865, -122.58507829323115 37.88061835654134, -122.58362304023649 37.87593537911606, -122.57770037216703 37.874798584323294))"
88283084c7fffff,84,19.38095238095238,0.0,200.0,"POLYGON ((-122.56730930920239 37.877207552054976, -122.56284057778197 37.880753501243206, -122.56429515747574 37.88543685216498, -122.57021880538014 37.88657406720679, -122.57468731983448 37.883028002049194, -122.57323240339913 37.87834483782897, -122.56730930920239 37.877207552054976))"
88283084c9fffff,99,21.494949494949495,0.0,200.0,"POLYGON ((-122.5733359996693 37.860747609823804, -122.56886835946048 37.86429393546687, -122.57032292322451 37.868977804483734, -122.57624546378413 37.87011516103825, -122.58071288696446 37.86656871939485, -122.57925798666231 37.86188503720709, -122.5733359996693 37.860747609823804))"
88283084cdfffff,26,11.846153846153847,0.0,31.0,"POLYGON ((-122.56294594660287 37.86315601722536, -122.55847754402545 37.866702038708254, -122.55993177106922 37.871386094460775, -122.56585473745929 37.87252394200461, -122.57032292322451 37.868977804483734, -122.56886835946048 37.86429393546687, -122.56294594660287 37.86315601722536))"
88283084d9fffff,5,14.8,0.0,24.0,"POLYGON ((-122.59847893083192 37.86997826403359, -122.5940124878147 37.8735251254763, -122.59546807718637 37.87820791601333, -122.60139044581871 37.87934365813587, -122.60585667122122 37.87579668083709, -122.60440074565479 37.87111407728164, -122.59847893083192 37.86997826403359))"
88283084e1fffff,52,13.326923076923077,0.0,26.0,"POLYGON ((-122.54652361840657 37.882023100833116, -122.54205336212779 37.88556844068884, -122.54350726779164 37.89025216473332, -122.54943176688899 37.8913903624173, -122.55390180663471 37.88784490651691, -122.55244756386477 37.88316136898706, -122.54652361840657 37.882023100833116))"
88283084e3fffff,19,9.789473684210526,0.0,29.0,"POLYGON ((-122.55390180663471 37.88784490651691, -122.54943176688899 37.8913903624173, -122.55088601747941 37.896073640592746, -122.55681064488986 37.89721127633333, -122.56128046791733 37.89366570444138, -122.55982588030126 37.888982612810246, -122.55390180663471 37.88784490651691))"
88283084e5fffff,251,13.282868525896415,0.0,72.0,"POLYGON ((-122.53612899153578 37.884429681136346, -122.53165797305162 37.88797471597702, -122.53311154142717 37.89265862644259, -122.53903646562384 37.89379731565625, -122.54350726779164 37.89025216473332, -122.54205336212779 37.88556844068884, -122.53612899153578 37.884429681136346))"
88283084e7fffff,214,12.07943925233645,0.0,200.0,"POLYGON ((-122.54350726779164 37.89025216473332, -122.53903646562384 37.89379731565625, -122.54049037900631 37.89848078028255, -122.54641543181323 37.899618907544905, -122.55088601747941 37.896073640592746, -122.54943176688899 37.8913903624173, -122.54350726779164 37.89025216473332))"
88283084e9fffff,16,13.875,0.0,22.0,"POLYGON ((-122.54953943097831 37.87379358895432, -122.54506972048978 37.87733911753247, -122.54652361840657 37.882023100833116, -122.55244756386477 37.88316136898706, -122.55691705778891 37.8796157243488, -122.55546282286787 37.874931927626555, -122.54953943097831 37.87379358895432))"
88283084ebfffff,22,18.136363636363637,0.0,200.0,"POLYGON ((-122.55691705778891 37.8796157243488, -122.55244756386477 37.88316136898706, -122.55390180663471 37.88784490651691, -122.55982588030126 37.888982612810246, -122.56429515747574 37.88543685216498, -122.56284057778197 37.880753501243206, -122.55691705778891 37.8796157243488))"
88283084edfffff,261,13.628352490421456,0.0,45.0,"POLYGON ((-122.53914590343204 37.87620028759283, -122.53467543080546 37.87974551135083, -122.53612899153578 37.884429681136346, -122.54205336212779 37.88556844068884, -122.54652361840657 37.882023100833116, -122.54506972048978 37.87733911753247, -122.53914590343204 37.87620028759283))"
8828308501fffff,163,15.38036809815951,0.0,55.0,"POLYGON ((-122.44725165503237 37.867306150462426, -122.4427757543942 37.87084907460047, -122.44422590645563 37.875536142291075, -122.450152297803 37.87668010005124, -122.4546279841373 37.87313705937955, -122.45317749347666 37.86845017749127, -122.44725165503237 37.867306150462426))"
8828308503fffff,450,15.96888888888889,0.0,200.0,"POLYGON ((-122.4546279841373 37.87313705937955, -122.450152297803 37.87668010005124, -122.45160279530538 37.88136672269405, -122.45752931770996 37.8825101188426, -122.46200478955497 37.87896696169001, -122.46055395353328 37.874280524879694, -122.4546279841373 37.87313705937955))"
8828308507fffff,89,16.191011235955056,0.0,41.0,"POLYGON ((-122.44422590645563 37.875536142291075, -122.43974945968614 37.87907887640406, -122.44119961848715 37.88376568478541, -122.44712656280755 37.884909573325174, -122.45160279530538 37.88136672269405, -122.450152297803 37.87668010005124, -122.44422590645563 37.875536142291075))"
882830850bfffff,201,15.92039800995025,0.0,200.0,"POLYGON ((-122.45765263374608 37.86490694698951, -122.45317749347666 37.86845017749127, -122.4546279841373 37.87313705937955, -122.46055395353328 37.874280524879694, -122.4650288792813 37.870737177881516, -122.46357805020337 37.866050481889545, -122.45765263374608 37.86490694698951))"
8828308511fffff,303,14.933993399339935,0.0,200.0,"POLYGON ((-122.47240560075203 37.87656640214379, -122.46793088971073 37.880109865585624, -122.46938207108694 37.88479585718941, -122.4753083018105 37.88593819940475, -122.47978279795971 37.88239461957208, -122.4783312783261 37.87770881392481, -122.47240560075203 37.87656640214379))"
8828308513fffff,112,19.607142857142858,0.0,200.0,"POLYGON ((-122.47978279795971 37.88239461957208, -122.4753083018105 37.88593819940475, -122.47675982853467 37.890623745673565, -122.48268618963404 37.891765526133035, -122.48716047070576 37.88822182996232, -122.4857086058042 37.88353646968009, -122.47978279795971 37.88239461957208))"
8828308515fffff,476,17.016806722689076,0.0,200.0,"POLYGON ((-122.46200478955497 37.87896696169001, -122.45752931770996 37.8825101188426, -122.45898016064676 37.88719629630903, -122.46490681391661 37.888339130770156, -122.46938207108694 37.88479585718941, -122.46793088971073 37.880109865585624, -122.46200478955497 37.87896696169001))"
